second T_ave
    50  6.211
   100  6.623
   150  6.931
   200  7.284
   250  7.624
   300  8.001
   350  8.406
   400  8.888
   450  9.370
   500  9.828
   550 10.262
   600 10.674
   650 11.065
   700 11.438
   750 11.793
   800 12.133
   850 12.457
   900 12.768
   950 13.065
  1000 13.350
  1050 13.623
  1100 13.885
  1150 14.136
  1200 14.377
  1250 14.607
  1300 14.828
  1350 15.040
  1400 15.244
  1450 15.438
  1500 15.626
  1550 15.805
  1600 15.976
  1650 16.142
  1700 16.301
  1750 16.451
  1800 16.596
  1850 16.737
  1900 16.871
  1950 16.998
  2000 17.121
  2050 17.240
  2100 17.353
  2150 17.462
  2200 17.566
  2250 17.664
  2300 17.761
  2350 17.852
  2400 17.940
  2450 18.025
  2500 18.106
  2550 18.183
  2600 18.259
  2650 18.329
  2700 18.398
  2750 18.463
  2800 18.527
  2850 18.587
  2900 18.645
  2950 18.701
  3000 18.754
  3050 18.805
  3100 18.854
  3150 18.901
  3200 18.945
  3250 18.989
  3300 19.030
  3350 19.070
  3400 19.108
  3450 19.146
  3500 19.180
  3550 19.213
  3600 19.246
  3650 19.277
  3700 19.306
  3750 19.335
  3800 19.362
  3850 19.388
  3900 19.413
  3950 19.437
  4000 19.461
  4050 19.483
  4100 19.503
  4150 19.524
  4200 19.545
  4250 19.563
  4300 19.580
  4350 19.598
  4400 19.613
  4450 19.629
  4500 19.645
  4550 19.659
  4600 19.674
  4650 19.687
  4700 19.700
  4750 19.712
  4800 19.724
  4850 19.735
  4900 19.745
  4950 19.756
  5000 19.765
  5050 19.776
  5100 19.785
  5150 19.794
  5200 19.802
  5250 19.810
  5300 19.818
  5350 19.826
  5400 19.832
  5450 19.840
  5500 19.846
  5550 19.853
  5600 19.859
  5650 19.864
  5700 19.870
  5750 19.874
  5800 19.879
  5850 19.885
  5900 19.890
  5950 19.894
  6000 19.898
  6050 19.903
  6100 19.907
  6150 19.911
  6200 19.913
  6250 19.919
  6300 19.921
  6350 19.924
  6400 19.927
  6450 19.929
  6500 19.933
  6550 19.937
  6600 19.939
  6650 19.942
  6700 19.944
  6750 19.946
  6800 19.947
  6850 19.951
  6900 19.953
  6950 19.954
  7000 19.956
  7050 19.957
  7100 19.959
  7150 19.962
  7200 19.963
  7250 19.964
  7300 19.966
  7350 19.968
  7400 19.969
  7450 19.970
  7500 19.971
  7550 19.972
  7600 19.973
  7650 19.974
  7700 19.975
  7750 19.976
  7800 19.977
  7850 19.979
  7900 19.980
  7950 19.980
  8000 19.981
  8050 19.981
  8100 19.982
  8150 19.983
  8200 19.984
  8250 19.985
  8300 19.986
  8350 19.986
  8400 19.987
  8450 19.988
  8500 19.988
  8550 19.989
  8600 19.989
  8650 19.990
  8700 19.990
  8750 19.990
  8800 19.991
  8850 19.992
  8900 19.992
  8950 19.992
  9000 19.993
  9050 19.993
  9100 19.993
  9150 19.993
  9200 19.993
